x,y,pmi,count
mell,pell,4.267109122884396,5
sauf,votre,4.091017863828714,5
jourdain,margery,4.011836617781089,5
cine,med,4.003867688109814,7
phrynia,timandra,3.9660791272204143,5
dogberry,verges,3.920321636659739,6
dit,il,3.789987868164733,5
clitus,dardanius,3.753004301911563,5
envoy,l,3.72304107853412,14
cleomenes,dion,3.644845745468146,7
antenor,deiphobus,3.6138966091090516,5
anjou,maine,3.590415513259529,12
cimber,metellus,3.590415513259529,8
haven,milford,3.5774505360951614,11
acold,tom,3.568139118548377,5
sisters,weird,3.551105779249596,5
cawdor,glamis,3.5469498194784386,6
alice,madame,3.5223816279877016,9
glendower,owen,3.521142555872153,7
silius,ventidius,3.518921095878195,5
je,pense,3.518921095878195,5
guildenstern,rosencrantz,3.495588451399765,22
dramatis,personae,3.4889578725007517,36
boist,rous,3.45419576624154,10
je,ma,3.451974306247582,5
gar,vill,3.4367343396908447,5
il,que,3.430965925523065,7
cawdor,thane,3.4220110828701387,14
desp,rate,3.4018076967818516,10
snout,starveling,3.367653420547546,5
eastcheap,tavern,3.364019135892452,5
martius,quintus,3.356332307226161,7
boar,eastcheap,3.340895337045314,8
les,que,3.340538040042929,6
ning,reck,3.3128666134450704,7
beau,le,3.3048976837737953,22
je,que,3.2970723462618388,8
stockings,yellow,3.2970723462618388,7
est,il,3.2671091228843956,6
ry,wat,3.2422236782544935,13
doublet,hose,3.2398350380177336,9
que,vous,3.239080399284152,6
ale,pot,3.235027855272955,5
shearing,sheep,3.2336853673974457,5
pow,rful,3.2323470166251838,5
rain,raineth,3.2191855705672126,5
dorset,marquis,3.2181065775105733,6
walter,whitmore,3.215313677326403,5
albany,cornwall,3.1799589471654954,6
doll,tearsheet,3.170199109876339,6
oswald,steward,3.159282695387241,11
lovel,ratcliff,3.1485504829138713,6
dame,eleanor,3.135704344026864,5
arden,forest,3.1270552349183505,6
chooseth,deserves,3.1230540958290227,5
aldermen,mayor,3.1209810872061574,5
cell,laurence,3.1117730854193337,10
boar,tavern,3.108746630789146,5
donalbain,malcolm,3.1043818253866955,11
benvolio,mercutio,3.098808108254966,5
batt,ry,3.098317102570214,6
je,les,3.0974999913566346,6
martext,oliver,3.085265534939623,5
ning,threat,3.084258280181418,17
horatio,marcellus,3.0721325196683402,6
je,vous,3.0629891402284706,7
garter,inn,3.046347468909253,8
cornwall,regan,3.042785754140184,7
basket,buck,3.0417998411585327,5
bagot,bushy,3.0417998411585327,5
bite,thumb,3.039222418270722,5
apart,converse,3.0357150553618086,9
murd,rous,3.0331904535008087,11
bishop,carlisle,3.0330259168510274,7
birnam,wood,3.0294217925822022,7
rivers,vaughan,3.0261440828209665,6
coeur,de,3.024071074198101,6
evans,fery,3.0158765955828293,6
quince,starveling,3.003867688109814,7
flute,quince,2.9803865922602912,9
coeur,lion,2.9770745115218773,6
bee,humble,2.9660791272204143,6
et,les,2.960326798331323,5
shakespeare,william,2.958900542593291,38
bishop,ely,2.9430138231517207,11
albans,saint,2.941456652312082,19
vernon,worcester,2.9380504036201707,7
colors,drum,2.9366953495352046,5
dow,r,2.9353445102442457,5
ides,march,2.93467066296879,7
faulconbridge,robert,2.931874165979118,6
reverence,saving,2.9066419393685465,5
nobleman,scotland,2.8991323375898013,6
aufidius,tullus,2.8987877961342825,9
calf,skin,2.894723218684746,7
east,west,2.878928951501514,12
pisa,vincentio,2.877943038519863,5
evans,oman,2.877573897416548,8
en,ta,2.876311765794453,94
count,nance,2.858869157572546,5
et,vous,2.858869157572546,5
alarum,excursions,2.857739652431576,12
ross,willoughby,2.856934657795346,7
phebe,silvius,2.84752048724989,12
n,swol,2.8438632489475877,5
pow,rs,2.8417062466946454,24
